4 | SAM HERE | 1 | 2026-03-17T19:09:46.331475
7 | sam not here | 1 | 2026-03-17T19:09:46.357906
8 | sam.is.alive | 1 | 2026-03-17T19:09:46.363379
10 | OVEN EXPLODED | 1 | 2026-03-17T19:26:42.199752
12 | fud tasty fr | 1 | 2026-03-17T19:26:42.217073
16 | sam.is.alive | 1 | 2026-03-17T19:26:42.245198
18 | sam not here | 1 | 2026-03-17T19:26:42.259870
21 | SAM HERE | 1 | 2026-03-17T19:26:46.381317
22 | SAM HERE | 1 | 2026-03-17T19:26:46.387502
23 | fud tasty fr | 1 | 2026-03-17T19:26:46.393245
24 | SAM HERE | 1 | 2026-03-17T19:26:46.398107
26 | fud tasty fr | 1 | 2026-03-17T19:26:46.408373
28 | sam not here | 1 | 2026-03-17T19:26:46.426162
29 | fud tasty fr | 1 | 2026-03-17T19:26:46.432908
30 | sam.is.alive | 1 | 2026-03-17T19:28:20.788669
36 | SAM HERE | 1 | 2026-03-17T19:28:20.814954
37 | OVEN EXPLODED | 1 | 2026-03-17T19:28:20.819171
39 | sam.is.alive | 1 | 2026-03-17T19:28:20.827969
40 | sam.is.alive | 1 | 2026-03-17T19:28:23.424683
42 | SAM HERE | 1 | 2026-03-17T19:28:23.433827
44 | sam.is.alive | 1 | 2026-03-17T19:28:23.442387
48 | OVEN EXPLODED | 1 | 2026-03-17T19:28:23.463651
49 | sam.is.alive | 1 | 2026-03-17T19:28:23.468155
51 | sam.is.alive | 1 | 2026-03-17T19:29:43.218990
52 | sam.is.alive | 1 | 2026-03-17T19:29:43.223939
53 | OVEN EXPLODED | 1 | 2026-03-17T19:29:43.228607
55 | sam.is.alive | 1 | 2026-03-17T19:29:43.238531
57 | fud tasty fr | 1 | 2026-03-17T19:29:43.248225
58 | fud tasty fr | 1 | 2026-03-17T19:29:43.253009
63 | sam not here | 1 | 2026-03-17T19:30:47.214188
64 | SAM HERE | 1 | 2026-03-17T19:30:47.223909
66 | fud tasty fr | 1 | 2026-03-17T19:30:47.243019
67 | OVEN EXPLODED | 1 | 2026-03-17T19:30:47.249704
69 | fud tasty fr | 1 | 2026-03-17T19:30:47.263002
